Test No.,Displacement Into Surface,Load On Sample,Modulus,Hardness,Row Number,Distance
1,224.8770731,2.929102784,189.3188254,2.26860565,0,13.901
2,225.7553439,3.015336432,199.6460988,2.313505602,0,15.036
3,225.3244332,2.90247759,225.4573632,2.21070376,0,16.454
4,223.4888514,2.934878567,226.3897284,2.274243062,0,18.44
5,223.1986042,3.045283208,221.072117,2.376674099,0,20.142
6,219.9357422,3.173804004,204.5275154,2.577261029,1,20.142
7,221.1352338,3.123605102,187.3832494,2.522233095,1,22.695
8,222.9180883,3.068847851,192.7626686,2.427175868,1,23.546
9,222.2278445,3.037973921,225.2270443,2.38875998,1,25.532
10,223.8608328,3.079749905,201.4509765,2.407201757,1,26.667
11,219.2801373,3.083547737,202.0797911,2.515024265,2,26.383
12,217.8687576,3.048758447,219.5900385,2.501727385,2,28.085
13,221.042404,3.088316985,213.6200351,2.467611538,2,29.788
14,218.299903,3.042388836,234.1363441,2.474983571,2,32.057
15,222.834069,3.078596456,222.4174432,2.411895236,2,33.192
16,223.0550527,3.08404119,231.7999274,2.404985033,3,33.192
17,222.8597013,3.094806066,227.4603418,2.421401637,3,34.894
18,220.6473076,3.026254759,216.1107537,2.420668582,3,36.312
19,220.0503348,3.028891402,226.3533857,2.428681514,3,38.015
20,221.3872945,3.109002242,227.8786298,2.466371323,3,40
21,221.3669695,3.041720221,231.3781631,2.406715851,4,39.433
22,222.9652116,3.143221943,209.0148135,2.474899197,4,41.703
23,225.6699283,3.277424441,228.1405364,2.510652014,4,42.837
24,223.0853129,3.186869255,171.9654229,2.551426966,4,44.256
25,220.7570662,3.158678261,224.3639296,2.526581598,4,46.242
26,222.0801382,3.115766156,219.5312975,2.462754448,5,46.242
27,220.8863489,3.119150148,211.8800612,2.499575686,5,47.66
28,222.0503114,3.136096858,189.4139283,2.509360155,5,49.646
29,220.5113394,3.123866308,195.1696348,2.52870014,5,51.064
30,220.841392,3.150534251,224.0609958,2.517772475,5,52.199
31,221.3592953,3.109170705,177.8423664,2.515569403,6,52.199
32,219.0046806,3.070003056,196.0618414,2.515523025,6,53.901
33,220.7471335,3.124599128,205.0453301,2.51384865,6,55.604
34,224.8714499,3.224258701,190.1489964,2.519120986,6,56.738
35,220.468381,3.1367116,219.7292127,2.518003728,6,59.292
36,220.4679421,3.136576193,204.173897,2.531839313,7,59.292
37,221.7147987,3.157104812,234.2337988,2.495486641,7,60.426
38,221.1860421,3.16989062,191.0418988,2.557956594,7,62.412
39,217.8649117,3.088011191,183.1304359,2.574335619,7,64.114
40,223.5809168,3.224451494,183.9392452,2.556997933,7,65.249
41,219.4242888,3.042240326,213.104365,2.465004239,8,65.816
42,219.7964178,3.185429741,221.5736599,2.57515926,8,67.519
43,220.6875304,3.161129346,180.8872801,2.574490191,8,68.937
44,224.1256889,3.194088681,238.1066991,2.469136174,8,70.639
45,221.9119129,3.136782055,176.1326824,2.529278304,8,72.625
46,222.1293278,3.173805706,186.5927033,2.543952941,9,72.341
47,220.7237635,3.088716855,217.0679596,2.47243064,9,73.476
48,221.0562428,3.094739925,199.3943627,2.485828,9,75.462
49,,,,,9,76.88
50,,,,,9,78.583
