Test No.,Displacement Into Surface,Load On Sample,Modulus,Hardness,Row Number,Distance
11/20 Batch 01,nm,mN,GPa,GPa,,um
1,221.1606068,2.915861439,191.371138,2.334471694,0,-67.259
2,221.8093574,2.830111838,215.1563853,2.228022492,0,-68.93
3,225.8255802,2.96303804,237.2916358,2.243158572,0,-70.601
4,225.7598822,2.944670559,253.314385,2.221326948,0,-72.272
5,224.1296856,2.919205802,240.3937728,2.239924893,0,-72.689
6,226.8989108,2.994418265,243.3453372,2.243607395,1,-61.828
7,223.0794965,2.866710473,246.1967961,2.214811121,1,-62.663
8,223.488182,2.940097824,203.2997531,2.295079255,1,-63.499
9,223.5363672,2.895340492,223.9132428,2.241860249,1,-65.588
10,224.2624374,2.973954238,155.003639,2.3601529,1,-67.676
11,223.5453532,2.895443636,207.0147376,2.2533115,2,-54.726
12,223.1315915,2.897829521,216.9245948,2.25681743,2,-55.979
13,225.0118676,2.94203385,223.0373245,2.250990008,2,-57.232
14,224.0462139,2.921323626,211.8583532,2.261158863,2,-58.903
15,224.9042338,2.940505864,235.2037452,2.244589971,2,-59.739
16,223.6091751,2.942666994,222.5909552,2.280696054,3,-48.042
17,224.3806963,2.995573223,226.2817193,2.306213987,3,-48.46
18,223.2194962,2.876496878,234.5981066,2.226278544,3,-50.131
19,224.2545638,2.921870166,247.1252779,2.236040299,3,-52.219
20,223.1857311,2.95603429,206.4485101,2.31248651,3,-53.89
21,225.222883,3.000179613,208.2318676,2.305153532,4,-41.358
22,221.3970732,2.930962665,242.8755497,2.304907844,4,-42.193
23,223.1827415,2.956455072,236.8436108,2.292235055,4,-44.282
24,223.5230809,2.901893896,234.6009043,2.241180177,4,-45.535
25,226.5281659,3.037880672,224.4150631,2.297492227,4,-46.788
26,226.8708425,3.001375808,222.7934183,2.261821141,5,-35.091
27,226.7013634,3.050820148,174.8446723,2.347496083,5,-35.509
28,224.7633271,2.942710694,234.1312564,2.249874257,5,-37.18
29,224.4239394,3.018284134,240.7756035,2.315190522,5,-38.851
30,225.1617646,3.001478231,209.1502535,2.306813511,5,-40.104
31,224.8685508,2.952178803,223.1473215,2.262215787,6,-28.825
32,222.7131705,2.931024187,184.6694974,2.320490598,6,-30.078
33,225.4076738,3.004654743,217.8317489,2.297959939,6,-30.914
34,222.3048653,2.908784849,209.6208594,2.288540532,6,-32.585
35,221.8341648,2.921696521,186.1227004,2.329967984,6,-34.256
36,225.9091217,2.936025854,180.5778697,2.261290548,7,-22.141
37,224.1059361,2.983842957,239.5876093,2.294114533,7,-23.394
38,225.2306373,2.981831269,160.9541153,2.337425927,7,-24.647
39,221.5305814,2.90180527,220.1833329,2.291399135,7,-25.901
40,226.8105335,3.007440204,202.662687,2.282458198,7,-27.154
41,229.296092,3.106891459,186.939819,2.32615985,8,-15.457
42,224.9351237,3.000637036,211.8912482,2.308807538,8,-16.71
43,221.7321086,2.939132612,211.576222,2.325180883,8,-17.963
44,224.2397927,2.950492263,220.9233388,2.27523151,8,-20.052
45,221.3950341,2.894914977,242.9873337,2.274494792,8,-20.888
46,225.9755939,2.96120797,196.1999691,2.266739079,9,-9.19
47,222.4527635,2.912710639,227.4621887,2.276534118,9,-10.026
48,223.6996019,2.934001552,249.4639075,2.256070711,9,-10.861
49,222.8240214,2.980159566,236.8504184,2.319565793,9,-12.532
50,,,,,,-14.203
