Test No.,Displacement Into Surface,Load On Sample,Modulus,Hardness,Row Number,Distance
11/20 Batch 01,nm,mN,GPa,GPa,,um
1,224.4240411,2.979607616,238.1608731,2.284843506,0,-9.19
2,225.4322167,3.025624479,191.8762254,2.33589827,0,-10.026
3,224.3147163,2.974958749,237.4022297,2.283713519,0,-11.697
4,217.5835522,2.753203933,197.3117051,2.262790421,0,-13.368
5,224.6831926,3.034389506,246.956606,2.319501137,0,-14.621
6,226.683709,2.997690991,231.8978513,2.257001712,1,-2.924
7,225.3625186,3.028936951,222.6228016,2.315652014,1,-3.342
8,224.1059705,2.980760681,220.1700641,2.303741176,1,-5.013
9,226.5974214,3.156450939,216.1198886,2.399125498,1,-6.684
10,223.1532836,3.065701757,202.1869478,2.410267535,1,-7.519
11,228.0625396,3.072955979,216.1905794,2.299874803,2,4.178
12,227.2046484,3.057800511,196.9114073,2.320561978,2,2.925
13,222.5321021,3.031903095,230.0213742,2.3736658,2,1.254
14,221.7703047,3.023569467,234.8396004,2.380082065,2,0.836
15,227.2039761,3.074618951,210.9338488,2.322955595,2,-0.835
16,226.7323266,3.058037442,221.7208875,2.311492994,3,10.026
17,225.145042,2.990691556,194.9872979,2.309783859,3,8.773
18,224.4164277,3.055860219,185.5861218,2.389902063,3,8.355
19,224.6406775,3.039812064,207.4855829,2.351246372,3,6.267
20,225.5862993,3.14416708,265.2859784,2.380206932,3,5.013
21,227.8911241,3.11699882,202.5416001,2.349907334,4,16.293
22,228.6400876,3.12429741,224.3032078,2.323669825,4,15.457
23,227.5575459,3.130071523,252.2038337,2.334063675,4,14.622
24,224.5432034,3.042681637,221.7980205,2.344961224,4,12.115
25,227.3350987,3.139892788,242.7171242,2.351917057,4,11.28
26,226.9203101,3.113555868,212.844824,2.359413503,5,23.812
27,227.9767355,3.101330115,214.9589361,2.325529451,5,22.977
28,224.6498637,3.076629919,212.5064147,2.377932759,5,20.888
29,224.3167786,3.080225739,214.852225,2.386372747,5,19.217
30,223.1160745,3.02751709,229.8285073,2.357444645,5,18.382
31,224.5955189,3.059767354,184.9246599,2.389989461,6,30.079
32,225.0157042,3.029733976,234.5698171,2.315895353,6,29.243
33,225.0141606,3.046158228,217.6979176,2.340734273,6,27.155
34,224.6621242,3.092993348,223.7192376,2.382944264,6,25.901
35,228.4908967,3.103711071,155.6460593,2.378505907,6,25.066
36,224.9534029,3.084479031,209.4874597,2.380326284,7,36.763
37,224.7062505,3.065129958,185.1920464,2.391851008,7,35.51
38,224.9284868,3.066057443,210.3415272,2.364754247,7,33.839
39,224.8422923,3.094234343,233.0846958,2.373705645,7,32.168
40,229.1543205,3.244503384,233.9744395,2.402614113,7,31.332
41,222.9337364,3.031133286,226.0949063,2.366946501,8,43.447
42,226.892501,3.116767723,222.0044051,2.355870353,8,42.194
43,226.274055,3.187431818,244.6571671,2.411938991,8,40.523
44,223.8215928,3.040583737,220.7710205,2.359425516,8,39.269
45,223.1431294,3.030943055,221.5123541,2.36545878,8,37.598
46,224.4416593,3.069115068,224.7036213,2.367127956,9,49.713
47,224.6486211,3.081362789,193.978614,2.398103898,9,48.878
48,222.9886873,3.039658613,192.0233916,2.401090949,9,47.207
49,225.2345644,3.058943564,201.9211763,2.359148373,9,45.536
50,,,,,,44.7
